Index,FundName
1,北京大学教育基金会
3,传媒大学教育基金会
4,海仓慈善基金会
5,华民慈善基金会
7,凯风公益基金会
8,李四光地质科学奖基金会
9,南都公益基金会
10,人保慈善基金会
11,清华大学教育基金会
14,吴阶平医学基金会
15,吴作人国际美术基金会
21,中国禁毒基金会
23,中国马克思主义研究基金会
24,宝钢教育基金会
25,慈济慈善事业基金会
26,华阳慈善基金会
27,浙江大学教育基金会
29,青岛市残疾儿童医疗康复基金会
30,中华社会文化发展基金会
31,中国法律援助基金会
32,中国华侨公益基金会
33,招商局慈善基金会
34,山东省儿童少年福利基金会
35,山东省老龄事业发展基金会
36,中国残疾人福利基金会
37,中国初级卫生保健基金会
38,中国儿童少年基金会
42,山东省彩虹援助基金会
43,中国关心下一代健康体育基金会
44,中国光彩事业基金会
45,中国光华科技基金会
46,中国国际文化交流基金会
47,中国华文教育基金会
48,中国华夏文化遗产基金会
50,安徽省中小学幼儿教师奖励基金会
51,中国健康促进基金会
52,安徽天徽慈善基金会
53,中国交响乐发展基金会
55,中国科学技术大学教育基金会
56,中国教育发展基金会
57,温州市永乐科技奖励医疗救助基金会
58,杭州市关爱孤儿基金会
59,浙江省发展侨务事业基金会
61,浙江省网易慈善基金会
62,中国老龄事业发展基金会
63,中国留学人才发展基金会
64,中国绿化基金会
65,中国民航科普基金会
66,中国农业大学教育基金会
68,中国人寿慈善基金会
69,中国少年儿童文化艺术基金会
71,中国社会福利基金会
72,中国宋庆龄基金会
73,中国医药卫生事业发展基金会
74,中国移动慈善基金会
76,浙江省扶贫基金会
77,中国志愿服务基金会
80,中华少年儿童慈善救助基金会
81,中华社会救助基金会
83,中央财经大学教育基金会
84,中远海运慈善基金会
85,周培源基金会
86,北京中艺艺术基金会
87,北京新阳光慈善基金会
88,北京华亚艺术基金会
89,北京友好传承文化基金会
90,北京市企业家环保基金会
91,杭州市送温暖工程基金会
92,北京协和医学基金会
95,浙江省老年事业发展基金会
96,浙江省娃哈哈慈善基金会
97,浙江永强慈善基金会
98,杭州市老龄事业发展基金会
99,桐庐县老龄事业发展基金会
100,北京水源保护基金会
101,福建海西青年创业基金会
102,福建集美大学教育发展基金会
103,福建农林大学教育发展基金会
104,北京市鸿儒金融教育基金会
105,北京市仁爱慈善基金会
106,福建省黄仲咸教育基金会
107,北京科技大学教育发展基金会
109,福建省潘振东教育基金会
111,福建省石竹慈善基金会
112,福州大学教育发展基金会
114,林则徐基金会
115,北京市美疆助学基金会
116,厦门中山医院基金会
117,北京光华慈善基金会
118,北京市搜候中国城市文化基金会
119,北京市中国人民大学教育基金会
120,福建省扶贫基金会
121,福建省发展体育事业基金会
122,福建省妇女儿童发展基金会
123,闽都中小银行教育发展基金会
124,福建省龙岩扶贫基金会
125,上海工商界爱国建设特种基金会
126,上海唐君远教育基金会
127,北京市戏曲艺术发展基金会
128,上海联和新泰战略研究与发展基金会
129,北京绿化基金会
131,北京工业大学教育基金会
133,上海市防癌抗癌事业发展基金会
134,上海能近公益基金会
135,上海特殊关爱基金会
136,北京节能与电力技术开发基金会
138,北京妇女儿童发展基金会
139,上海联劝公益基金会
140,北京市长江科技扶贫基金会
141,上海民建扶帮公益基金会
142,北京世纪慈善基金会
143,北京工商大学教育基金会
144,上海市拥军优属基金会
146,上海市华侨事业发展基金会
147,上海市儿童基金会
148,上海市青少年发展基金会
149,上海交响乐团文化发展基金会
151,江苏长江平民教育基金会
152,常熟理工学院教育发展基金会
153,常州工程职业技术学院教育发展基金会
